"","litter.year","site","Stand","Plot","Treatment","stand.age","N","P","years.since.first.treatment","plot.avg"
"1","2016-2017","BEF","C7",1,"N","Mature",1,0,5,626.493150684931
"2","2016-2017","BEF","C7",2,"NP","Mature",1,1,5,504.082191780822
"3","2016-2017","BEF","C7",3,"P","Mature",0,1,5,553.869863013699
"4","2016-2017","BEF","C7",4,"C","Mature",0,0,5,663.561643835616
"5","2016-2017","BEF","C8",1,"P","Mature",0,1,5,609.397260273973
"6","2016-2017","BEF","C8",2,"C","Mature",0,0,5,617.849315068493
"7","2016-2017","BEF","C8",3,"N","Mature",1,0,5,637.602739726027
"8","2016-2017","BEF","C8",4,"NP","Mature",1,1,5,518.938356164384
"9","2016-2017","BEF","C8",5,"Ca","Mature",0,0,5,591.712328767123
"10","2016-2017","BEF","C9",1,"C","Mature",0,0,5,629.835616438356
"11","2016-2017","BEF","C9",2,"P","Mature",0,1,5,644.698630136986
"12","2016-2017","BEF","C9",3,"NP","Mature",1,1,5,640.068493150685
"13","2016-2017","BEF","C9",4,"N","Mature",1,0,5,612.36301369863
"14","2017-2018","BEF","C7",1,"N","Mature",1,0,6,693.369863013699
"15","2017-2018","BEF","C7",2,"NP","Mature",1,1,6,754.197260273973
"16","2017-2018","BEF","C7",3,"P","Mature",0,1,6,524.771232876712
"17","2017-2018","BEF","C7",4,"C","Mature",0,0,6,510.32602739726
"18","2017-2018","BEF","C8",1,"P","Mature",0,1,6,534.205479452055
"19","2017-2018","BEF","C8",2,"C","Mature",0,0,6,NA
"20","2017-2018","BEF","C8",3,"N","Mature",1,0,6,NA
"21","2017-2018","BEF","C8",4,"NP","Mature",1,1,6,666.780821917808
"22","2017-2018","BEF","C8",5,"Ca","Mature",0,0,6,77.5479452054795
"23","2017-2018","BEF","C9",1,"C","Mature",0,0,6,636.541095890411
"24","2017-2018","BEF","C9",2,"P","Mature",0,1,6,646.27397260274
"25","2017-2018","BEF","C9",3,"NP","Mature",1,1,6,737.13698630137
"26","2017-2018","BEF","C9",4,"N","Mature",1,0,6,690.13698630137
"27","2018-2019","BEF","C7",1,"N","Mature",1,0,7,519.013698630137
"28","2018-2019","BEF","C7",2,"NP","Mature",1,1,7,440.095890410959
"29","2018-2019","BEF","C7",3,"P","Mature",0,1,7,462.465753424658
"30","2018-2019","BEF","C7",4,"C","Mature",0,0,7,499.269406392694
"31","2018-2019","BEF","C8",1,"P","Mature",0,1,7,398.86301369863
"32","2018-2019","BEF","C8",2,"C","Mature",0,0,7,413.972602739726
"33","2018-2019","BEF","C8",3,"N","Mature",1,0,7,406.465753424658
"34","2018-2019","BEF","C8",4,"NP","Mature",1,1,7,295.082191780822
"35","2018-2019","BEF","C9",1,"C","Mature",0,0,7,530.575342465753
"36","2018-2019","BEF","C9",2,"P","Mature",0,1,7,484.27397260274
"37","2018-2019","BEF","C9",3,"NP","Mature",1,1,7,565.287671232877
"38","2018-2019","BEF","C9",4,"N","Mature",1,0,7,460.260273972603
